"","years","rmodel","SSBmed","SSBmin","SSBmax","Rmed","Rmin","Rmax","Fmed","Fmin","Fmax","Cmed","Cmin","Cmax"
"109",2031,"env_EM_OM1",133708.016031745,75824.3567033395,286148.530053645,2990065.00464483,929170.490322699,10124912.0005159,0.263274269792819,0.208985726039457,0.378200613101966,32748.8074579188,17454.5136845582,76930.0691216174
"110",2031,"no_env_EM_OM2",156296.835850328,81638.0574709973,274827.276793925,4017970.46259151,1003270.36298181,9111507.38308663,0.250645969820995,0.20152752056456,0.34994682306129,39090.5890064283,21799.4450949672,79594.9126583634
"111",2032,"env_EM_OM1",131448.362402932,69852.3270445569,254597.518665934,3509475.76119848,805910.818089104,11026116.088475,0.263359061786966,0.20440503035395,0.349788444848253,31084.5270385538,18105.3448069376,65426.8290197229
"112",2032,"no_env_EM_OM2",152670.585800497,91153.2297019503,273684.386341145,3949113.96947708,952268.813328173,10427813.491692,0.248551630531093,0.205130811309945,0.338349891310087,35727.8955150433,20779.1176055173,64933.3482348085
"113",2033,"env_EM_OM1",133603.445739725,75885.7753195444,218069.680461279,2944134.51177532,800307.897240767,10074611.0122135,0.261609621696231,0.201789529934358,0.346312151945037,33900.1332279034,20443.155843395,53713.968194283
"114",2033,"no_env_EM_OM2",149470.155319746,97983.4127707005,236576.971368693,4331537.80828417,1190095.27091902,11457548.6884015,0.246133446178224,0.206495564362465,0.313005700743466,34633.7152391745,21776.531298971,58166.7048171112
"115",2034,"env_EM_OM1",124242.823126429,83729.0841726449,217165.058468494,3005016.13827838,826807.400285111,10545251.5931045,0.264320021005,0.207121657058886,0.346414032904287,32660.9830628849,21342.7321797947,51016.2611260372
"116",2034,"no_env_EM_OM2",142131.287387433,89923.5350814853,246148.00722295,4807535.82486457,1130283.17460594,11090645.7150062,0.254943523578107,0.209216384624123,0.32658494220931,34984.5277692232,19432.2052602287,59524.4325035067
"117",2035,"env_EM_OM1",126631.444041938,90058.7254136467,223079.716097328,3038268.22506719,1145433.04400193,9188919.50712241,0.271838780840961,0.210402429277544,0.360286165293411,32033.8684693404,20749.4598761904,59194.4241429858
"118",2035,"no_env_EM_OM2",153006.864141018,86645.2254421059,245942.340446877,5510958.34353258,1081275.38131127,15848045.8973968,0.256859199333648,0.208454764627477,0.355791018104207,36535.5623093163,21385.8685557431,64264.1822738462
"119",2036,"env_EM_OM1",116316.28900115,79957.1482895288,227129.622722399,2629588.84716188,816466.706634869,8752551.24454919,0.262433499479636,0.212475445340259,0.348014448773726,30518.1863340411,18625.6733937411,61649.6253535678
"120",2036,"no_env_EM_OM2",157001.683597386,97787.4107631137,216954.172584094,4674372.34919308,1119114.39998019,13321486.2537349,0.263826239765747,0.222300633165045,0.368214941841,38590.350395485,24854.4656000087,61200.8696701352
"121",2037,"env_EM_OM1",131609.178481794,74791.8881861229,241890.678593176,2571017.49920603,877172.120624551,8832271.97724839,0.263549980888511,0.211548571102743,0.338008794884303,31515.1312832257,18666.353789802,62171.1171862281
"122",2037,"no_env_EM_OM2",163833.480347632,103166.675778222,250216.096653685,4280721.13860124,1668626.53612297,10090315.2055748,0.265268083306413,0.200479339394062,0.369640343725225,36576.5515500645,21287.5066308269,72371.0549736759
"123",2038,"env_EM_OM1",126813.446382708,76774.7041222683,192906.628482842,3280781.69353572,741100.05938076,14635586.026025,0.269627307155095,0.204971116440077,0.361099227587536,33242.5116999555,19729.0008563217,49895.2805506688
